"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"83","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VIDEO_TS.VOB","D:\d_2018_002\data\07\VIDEO_TS\VIDEO_TS.VOB","VIDEO_TS.VOB","Signature","Done","10240","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"84","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_0.BUP","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_0.BUP","VTS_01_0.BUP","Signature","Done","45056","File","bup","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
"85","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_0.IFO","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_0.IFO","VTS_01_0.IFO","Signature","Done","45056","File","ifo","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
"86","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_0.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_0.VOB","VTS_01_0.VOB","Signature","Done","321536","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"90","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_1.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_1.VOB","VTS_01_1.VOB","Signature","Done","1073709056","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"95","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_2.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_2.VOB","VTS_01_2.VOB","Signature","Done","1073709056","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"96","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_01_3.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_01_3.VOB","VTS_01_3.VOB","","Done","763365376","File","vob","2009-11-05T07:54:18","false",,"0",,"","",""
"88","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_02_0.BUP","D:\d_2018_002\data\07\VIDEO_TS\VTS_02_0.BUP","VTS_02_0.BUP","Signature","Done","18432","File","bup","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
"89","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_02_0.IFO","D:\d_2018_002\data\07\VIDEO_TS\VTS_02_0.IFO","VTS_02_0.IFO","Signature","Done","18432","File","ifo","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
"87","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_02_0.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_02_0.VOB","VTS_02_0.VOB","Signature","Done","10240","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"94","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_02_1.VOB","D:\d_2018_002\data\07\VIDEO_TS\VTS_02_1.VOB","VTS_02_1.VOB","Signature","Done","98893824","File","vob","2009-11-05T07:54:18","false",,"1","fmt/425","","Video Object File (MPEG-2 subset)",""
"93","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VTS_03_0.BUP","D:\d_2018_002\data\07\VIDEO_TS\VTS_03_0.BUP","VTS_03_0.BUP","Signature","Done","18432","File","bup","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
